"year","state_fips","state_name","supersector","employment_march","establishments","payroll_quarter1"
2001,13,"Georgia","Information",149484,4076,1896129000
2002,13,"Georgia","Information",136907,4154,1746397000
2003,13,"Georgia","Information",134112,4172,1893251000
2004,13,"Georgia","Information",129713,4126,1957180000
2005,13,"Georgia","Information",119780,4198,1939302000
2006,13,"Georgia","Information",122517,4361,2203447000
2007,13,"Georgia","Information",114853,4372,2220232000
2008,13,"Georgia","Information",116303,4257,2305474000
2009,13,"Georgia","Information",119830,4112,2368882000
2010,13,"Georgia","Information",112723,4064,2280436000
2011,13,"Georgia","Information",110382,4027,2466309000
2012,13,"Georgia","Information",108268,4035,2542085000
2013,13,"Georgia","Information",120155,4001,2654738000
2014,13,"Georgia","Information",112054,4053,2987646000
2015,13,"Georgia","Information",116639,4089,3055745000
2016,13,"Georgia","Information",119034,4385,3216470000
2017,13,"Georgia","Information",127611,4658,3549209000
2018,13,"Georgia","Information",134351,4858,3682468000
2019,13,"Georgia","Information",120086,4963,3308381000
2020,13,"Georgia","Information",117212,5136,3492141000
2021,13,"Georgia","Information",114960,5152,3669744000
2001,13,"Georgia","Leisure and Hospitality",337079,17297,1076028000
2002,13,"Georgia","Leisure and Hospitality",329391,17850,1081587000
2003,13,"Georgia","Leisure and Hospitality",349900,18623,1159739000
2004,13,"Georgia","Leisure and Hospitality",363783,19186,1180288000
2005,13,"Georgia","Leisure and Hospitality",366289,19911,1244574000
2006,13,"Georgia","Leisure and Hospitality",389082,20509,1340624000
2007,13,"Georgia","Leisure and Hospitality",398938,21463,1408414000
2008,13,"Georgia","Leisure and Hospitality",408192,21527,1464774000
2009,13,"Georgia","Leisure and Hospitality",387500,21235,1405127000
2010,13,"Georgia","Leisure and Hospitality",379924,21263,1420576000
2011,13,"Georgia","Leisure and Hospitality",382458,21212,1476583000
2012,13,"Georgia","Leisure and Hospitality",395829,21622,1521445000
2013,13,"Georgia","Leisure and Hospitality",414408,21874,1592579000
2014,13,"Georgia","Leisure and Hospitality",429798,22337,1684396000
2015,13,"Georgia","Leisure and Hospitality",449366,22762,1842798000
2016,13,"Georgia","Leisure and Hospitality",468614,23479,1969569000
2017,13,"Georgia","Leisure and Hospitality",486372,24646,2154918000
2018,13,"Georgia","Leisure and Hospitality",505868,25016,2229145000
2019,13,"Georgia","Leisure and Hospitality",513824,25686,2356097000
2020,13,"Georgia","Leisure and Hospitality",515566,26130,2459263000
2021,13,"Georgia","Leisure and Hospitality",463235,27163,2211527000
2001,13,"Georgia","Manufacturing",487822,8688,4072560000
2002,13,"Georgia","Manufacturing",446732,8636,3835224000
2003,13,"Georgia","Manufacturing",445723,8652,3882439000
2004,13,"Georgia","Manufacturing",429872,8709,3856680000
2005,13,"Georgia","Manufacturing",424537,8623,3929660000
2006,13,"Georgia","Manufacturing",427704,8623,4130285000
2007,13,"Georgia","Manufacturing",379187,8699,3780535000
2008,13,"Georgia","Manufacturing",365815,8571,3769190000
2009,13,"Georgia","Manufacturing",323653,8010,3276599000
2010,13,"Georgia","Manufacturing",281614,7683,2839451000
2011,13,"Georgia","Manufacturing",278082,7460,3006167000
2012,13,"Georgia","Manufacturing",283298,7438,3131801000
2013,13,"Georgia","Manufacturing",287141,7285,3274663000
2014,13,"Georgia","Manufacturing",319401,7351,3816366000
2015,13,"Georgia","Manufacturing",359606,7432,4359835000
2016,13,"Georgia","Manufacturing",363661,7478,4448642000
2017,13,"Georgia","Manufacturing",372777,7496,4756808000
2018,13,"Georgia","Manufacturing",388627,7565,5131969000
2019,13,"Georgia","Manufacturing",392942,7541,5399208000
2020,13,"Georgia","Manufacturing",391087,7529,5465852000
2021,13,"Georgia","Manufacturing",387599,7637,5282371000
2001,13,"Georgia","Other Services",145448,19628,735242000
2002,13,"Georgia","Other Services",149044,20327,766117000
2003,13,"Georgia","Other Services",146279,20245,742866000
2004,13,"Georgia","Other Services",153053,20565,782320000
2005,13,"Georgia","Other Services",152075,20870,810396000
2006,13,"Georgia","Other Services",154639,20893,866258000
2007,13,"Georgia","Other Services",158339,21300,952126000
2008,13,"Georgia","Other Services",160894,20869,1002513000
2009,13,"Georgia","Other Services",153409,20473,946663000
2010,13,"Georgia","Other Services",148354,20468,909453000
2011,13,"Georgia","Other Services",148842,20273,928408000
2012,13,"Georgia","Other Services",149397,20464,959556000
2013,13,"Georgia","Other Services",152959,20621,994783000
2014,13,"Georgia","Other Services",152311,20799,1013208000
2015,13,"Georgia","Other Services",156604,20994,1074785000
2016,13,"Georgia","Other Services",159285,21290,1102434000
2017,13,"Georgia","Other Services",159966,21851,1176713000
2018,13,"Georgia","Other Services",163045,21906,1225264000
2019,13,"Georgia","Other Services",164421,22313,1284973000
2020,13,"Georgia","Other Services",162932,22715,1338291000
2021,13,"Georgia","Other Services",152506,23606,1315422000
2001,13,"Georgia","Professional and Business Services",626298,34841,6426506000
2002,13,"Georgia","Professional and Business Services",575175,35231,6063575000
2003,13,"Georgia","Professional and Business Services",572230,36051,6176493000
2004,13,"Georgia","Professional and Business Services",594830,37748,6307531000
2005,13,"Georgia","Professional and Business Services",620774,39144,6839147000
2006,13,"Georgia","Professional and Business Services",681516,40412,7884816000
2007,13,"Georgia","Professional and Business Services",685090,42214,8153147000
2008,13,"Georgia","Professional and Business Services",668696,42090,8547357000
2009,13,"Georgia","Professional and Business Services",631454,41269,8345485000
2010,13,"Georgia","Professional and Business Services",629419,41307,8173454000
2011,13,"Georgia","Professional and Business Services",625547,41038,8595198000
2012,13,"Georgia","Professional and Business Services",660372,41675,9767089000
2013,13,"Georgia","Professional and Business Services",645199,41902,9803366000
2014,13,"Georgia","Professional and Business Services",686760,42403,10755822000
2015,13,"Georgia","Professional and Business Services",742604,43273,11604325000
2016,13,"Georgia","Professional and Business Services",763900,43731,12200313000
2017,13,"Georgia","Professional and Business Services",794891,44318,13314631000
2018,13,"Georgia","Professional and Business Services",809257,44480,14016865000
2019,13,"Georgia","Professional and Business Services",836508,44785,15057542000
2020,13,"Georgia","Professional and Business Services",853316,46149,15053551000
2021,13,"Georgia","Professional and Business Services",849295,47947,15881844000
2001,13,"Georgia","Public Administration",38973,503,488283000
2002,13,"Georgia","Public Administration",32183,451,436541000
2001,13,"Georgia","Trade, Transportation, and Utilities",799341,53608,6122870000
2002,13,"Georgia","Trade, Transportation, and Utilities",785612,54071,6023628000
2003,13,"Georgia","Trade, Transportation, and Utilities",795110,54012,6105160000
2004,13,"Georgia","Trade, Transportation, and Utilities",828255,54713,6320046000
2005,13,"Georgia","Trade, Transportation, and Utilities",826012,55554,6378708000
2006,13,"Georgia","Trade, Transportation, and Utilities",853523,56264,7224397000
2007,13,"Georgia","Trade, Transportation, and Utilities",844633,57186,7115929000
2008,13,"Georgia","Trade, Transportation, and Utilities",834586,56049,7237122000
2009,13,"Georgia","Trade, Transportation, and Utilities",772774,53936,6645269000
2010,13,"Georgia","Trade, Transportation, and Utilities",750497,53274,6311676000
2011,13,"Georgia","Trade, Transportation, and Utilities",763402,53011,6733376000
2012,13,"Georgia","Trade, Transportation, and Utilities",766891,53268,7207505000
2013,13,"Georgia","Trade, Transportation, and Utilities",787730,53219,7526581000
2014,13,"Georgia","Trade, Transportation, and Utilities",808078,53583,7815790000
2015,13,"Georgia","Trade, Transportation, and Utilities",860933,54168,8633095000
2016,13,"Georgia","Trade, Transportation, and Utilities",890604,54568,8910022000
2017,13,"Georgia","Trade, Transportation, and Utilities",880690,54694,9386314000
2018,13,"Georgia","Trade, Transportation, and Utilities",913407,54784,10391090000
2019,13,"Georgia","Trade, Transportation, and Utilities",921554,54704,10802020000
2020,13,"Georgia","Trade, Transportation, and Utilities",957739,55587,12173680000
2021,13,"Georgia","Trade, Transportation, and Utilities",957561,57953,11950576000
2001,13,"Georgia","Unclassified",2106,1849,10823000
2002,13,"Georgia","Unclassified",580,1016,2868000
2003,13,"Georgia","Unclassified",303,734,1010000
2004,13,"Georgia","Unclassified",581,921,1996000
2005,13,"Georgia","Unclassified",174,500,572000
2006,13,"Georgia","Unclassified",442,661,1819000
2007,13,"Georgia","Unclassified",154,259,9e+05
2008,13,"Georgia","Unclassified",64,259,987000
2009,13,"Georgia","Unclassified",8,265,669000
2010,13,"Georgia","Unclassified",77,358,756000
2011,13,"Georgia","Unclassified",100,312,507000
2012,13,"Georgia","Unclassified",47,172,488000
2013,13,"Georgia","Unclassified",47,302,372000
2014,13,"Georgia","Unclassified",160,379,1154000
2015,13,"Georgia","Unclassified",424,482,2197000
2016,13,"Georgia","Unclassified",424,397,2205000
2017,13,"Georgia","Unclassified",173,145,1198000
2018,13,"Georgia","Unclassified",267,363,1597000
2019,13,"Georgia","Unclassified",411,378,2548000
2020,13,"Georgia","Unclassified",430,528,2460000
2021,13,"Georgia","Unclassified",598,485,6117000
2001,15,"Hawaii","Agriculture and Mining",519,63,2224000
2002,15,"Hawaii","Agriculture and Mining",289,55,1442000
2003,15,"Hawaii","Agriculture and Mining",302,56,1361000
2004,15,"Hawaii","Agriculture and Mining",282,53,1405000
2005,15,"Hawaii","Agriculture and Mining",0,55,0
2006,15,"Hawaii","Agriculture and Mining",0,54,0
2007,15,"Hawaii","Agriculture and Mining",407,52,3181000
2008,15,"Hawaii","Agriculture and Mining",492,51,6317000
2009,15,"Hawaii","Agriculture and Mining",379,50,1152000
2010,15,"Hawaii","Agriculture and Mining",281,50,2853000
2011,15,"Hawaii","Agriculture and Mining",221,41,2749000
2012,15,"Hawaii","Agriculture and Mining",227,41,2710000
2013,15,"Hawaii","Agriculture and Mining",206,40,927000
2014,15,"Hawaii","Agriculture and Mining",229,37,939000
2015,15,"Hawaii","Agriculture and Mining",276,42,4239000
2016,15,"Hawaii","Agriculture and Mining",301,40,4031000
2017,15,"Hawaii","Agriculture and Mining",319,46,3863000
2018,15,"Hawaii","Agriculture and Mining",305,44,3666000
2019,15,"Hawaii","Agriculture and Mining",259,38,3064000
2020,15,"Hawaii","Agriculture and Mining",272,32,3338000
2021,15,"Hawaii","Agriculture and Mining",328,47,3978000
2001,15,"Hawaii","Construction",24238,2385,257217000
2002,15,"Hawaii","Construction",24048,2397,254589000
2003,15,"Hawaii","Construction",26570,2475,285369000
2004,15,"Hawaii","Construction",27020,2579,299545000
2005,15,"Hawaii","Construction",29480,2753,328047000
2006,15,"Hawaii","Construction",32120,2881,397845000
2007,15,"Hawaii","Construction",34235,3005,454796000
2008,15,"Hawaii","Construction",34031,2922,485292000
2009,15,"Hawaii","Construction",29530,2841,425305000
2010,15,"Hawaii","Construction",27099,2738,354332000
2011,15,"Hawaii","Construction",25229,2645,335610000
2012,15,"Hawaii","Construction",24773,2635,351791000
2013,15,"Hawaii","Construction",27075,2683,388744000
2014,15,"Hawaii","Construction",27736,2735,406824000
2015,15,"Hawaii","Construction",29459,2773,447380000
2016,15,"Hawaii","Construction",33472,2869,528121000
2017,15,"Hawaii","Construction",31783,2880,541051000
2018,15,"Hawaii","Construction",31096,2890,540175000
2019,15,"Hawaii","Construction",30886,2886,543506000
2020,15,"Hawaii","Construction",31466,2890,565159000
2021,15,"Hawaii","Construction",30885,2942,561595000
2001,15,"Hawaii","Education and Health Services",64894,3530,517590000
2002,15,"Hawaii","Education and Health Services",68626,3687,558834000
2003,15,"Hawaii","Education and Health Services",73138,3798,577707000
2004,15,"Hawaii","Education and Health Services",75849,3871,618801000
2005,15,"Hawaii","Education and Health Services",77806,3905,650416000
2006,15,"Hawaii","Education and Health Services",76732,3993,707563000
2007,15,"Hawaii","Education and Health Services",83348,4031,817830000
2008,15,"Hawaii","Education and Health Services",83954,4035,860894000
2009,15,"Hawaii","Education and Health Services",84316,4041,888408000
2010,15,"Hawaii","Education and Health Services",84681,4030,848944000
2011,15,"Hawaii","Education and Health Services",85099,4010,884178000
2012,15,"Hawaii","Education and Health Services",84461,4083,911161000
2013,15,"Hawaii","Education and Health Services",85938,4098,938082000
2014,15,"Hawaii","Education and Health Services",87022,4143,966363000
2015,15,"Hawaii","Education and Health Services",86532,4166,1005130000
2016,15,"Hawaii","Education and Health Services",89226,4172,1031975000
2017,15,"Hawaii","Education and Health Services",90488,4222,1152904000
2018,15,"Hawaii","Education and Health Services",90707,4258,1208990000
2019,15,"Hawaii","Education and Health Services",91457,4280,1240972000
2020,15,"Hawaii","Education and Health Services",91021,4274,1277327000
2021,15,"Hawaii","Education and Health Services",85858,4303,1234947000
2001,15,"Hawaii","Financial Activities",32639,3202,319935000
2002,15,"Hawaii","Financial Activities",34883,3355,385266000
2003,15,"Hawaii","Financial Activities",33247,3401,349599000
2004,15,"Hawaii","Financial Activities",34126,3481,380222000
2005,15,"Hawaii","Financial Activities",34754,3711,413084000
2006,15,"Hawaii","Financial Activities",35616,3777,449722000
2007,15,"Hawaii","Financial Activities",36584,3747,469265000
2008,15,"Hawaii","Financial Activities",35090,3639,462580000
2009,15,"Hawaii","Financial Activities",33350,3566,452336000
2010,15,"Hawaii","Financial Activities",31904,3382,408458000
2011,15,"Hawaii","Financial Activities",30835,3351,431372000
2012,15,"Hawaii","Financial Activities",30865,3339,440386000
2013,15,"Hawaii","Financial Activities",31362,3331,478653000
2014,15,"Hawaii","Financial Activities",31189,3387,478650000
2015,15,"Hawaii","Financial Activities",31704,3351,508575000
2016,15,"Hawaii","Financial Activities",31000,3421,502688000
2017,15,"Hawaii","Financial Activities",32846,3522,561918000
2018,15,"Hawaii","Financial Activities",35155,3584,652021000
2019,15,"Hawaii","Financial Activities",35892,3574,661170000
2020,15,"Hawaii","Financial Activities",36127,3552,682220000
2021,15,"Hawaii","Financial Activities",32089,3579,666215000
2001,15,"Hawaii","Information",9333,575,101311000
2002,15,"Hawaii","Information",9679,581,109446000
2003,15,"Hawaii","Information",11646,621,211957000
2004,15,"Hawaii","Information",9743,593,130905000
2005,15,"Hawaii","Information",9631,631,120515000
2006,15,"Hawaii","Information",9712,637,126437000
2007,15,"Hawaii","Information",9460,617,125444000
2008,15,"Hawaii","Information",9976,620,138077000
2009,15,"Hawaii","Information",9380,580,121934000
2010,15,"Hawaii","Information",8788,543,115851000
2011,15,"Hawaii","Information",8172,531,126094000
2012,15,"Hawaii","Information",8010,526,125478000
2013,15,"Hawaii","Information",8154,506,127229000
2014,15,"Hawaii","Information",8122,501,136227000
2015,15,"Hawaii","Information",8116,498,136670000
2016,15,"Hawaii","Information",8202,516,130707000
2017,15,"Hawaii","Information",8416,533,135036000
2018,15,"Hawaii","Information",8550,562,135863000
2019,15,"Hawaii","Information",8504,566,137871000
2020,15,"Hawaii","Information",8037,602,135227000
2021,15,"Hawaii","Information",6285,582,126764000
2001,15,"Hawaii","Leisure and Hospitality",96577,3534,469472000
2002,15,"Hawaii","Leisure and Hospitality",94494,3569,444801000
2003,15,"Hawaii","Leisure and Hospitality",100922,3688,497296000
2004,15,"Hawaii","Leisure and Hospitality",107179,3831,542885000
2005,15,"Hawaii","Leisure and Hospitality",111740,3883,606935000
2006,15,"Hawaii","Leisure and Hospitality",113571,4044,639870000
2007,15,"Hawaii","Leisure and Hospitality",110372,4048,644663000
2008,15,"Hawaii","Leisure and Hospitality",110749,4033,671848000
2009,15,"Hawaii","Leisure and Hospitality",102234,3992,598014000
2010,15,"Hawaii","Leisure and Hospitality",100085,3977,575285000
2011,15,"Hawaii","Leisure and Hospitality",103766,3956,627603000
2012,15,"Hawaii","Leisure and Hospitality",109191,4043,704357000
2013,15,"Hawaii","Leisure and Hospitality",112332,4090,760703000
2014,15,"Hawaii","Leisure and Hospitality",116232,4113,786185000
2015,15,"Hawaii","Leisure and Hospitality",116032,4136,803066000
2016,15,"Hawaii","Leisure and Hospitality",119320,4299,842687000
2017,15,"Hawaii","Leisure and Hospitality",124762,4376,922235000
2018,15,"Hawaii","Leisure and Hospitality",125417,4418,970147000
2019,15,"Hawaii","Leisure and Hospitality",123168,4445,993268000
2020,15,"Hawaii","Leisure and Hospitality",121816,4384,1023987000
2021,15,"Hawaii","Leisure and Hospitality",85772,4337,599370000
2001,15,"Hawaii","Manufacturing",15221,940,118274000
2002,15,"Hawaii","Manufacturing",13365,915,109153000
2003,15,"Hawaii","Manufacturing",14346,924,113789000
2004,15,"Hawaii","Manufacturing",14625,928,113628000
2005,15,"Hawaii","Manufacturing",14923,946,112305000
2006,15,"Hawaii","Manufacturing",15211,953,123480000
2007,15,"Hawaii","Manufacturing",14776,971,126574000
2008,15,"Hawaii","Manufacturing",14190,941,124723000
2009,15,"Hawaii","Manufacturing",12854,876,115427000
2010,15,"Hawaii","Manufacturing",12410,844,109046000
2011,15,"Hawaii","Manufacturing",12118,812,107339000
2012,15,"Hawaii","Manufacturing",12177,794,113924000
2013,15,"Hawaii","Manufacturing",12172,772,123063000
2014,15,"Hawaii","Manufacturing",11958,760,121585000
2015,15,"Hawaii","Manufacturing",12449,764,122881000
2016,15,"Hawaii","Manufacturing",13040,779,133478000
2017,15,"Hawaii","Manufacturing",12711,776,139512000
2018,15,"Hawaii","Manufacturing",12583,793,138304000
2019,15,"Hawaii","Manufacturing",12416,768,136462000
2020,15,"Hawaii","Manufacturing",12778,760,147342000
2021,15,"Hawaii","Manufacturing",10719,735,119930000
2001,15,"Hawaii","Other Services",24024,3226,124982000
2002,15,"Hawaii","Other Services",24420,3359,131643000
2003,15,"Hawaii","Other Services",24684,3347,132834000
2004,15,"Hawaii","Other Services",24096,3346,132447000
2005,15,"Hawaii","Other Services",24304,3403,138657000
2006,15,"Hawaii","Other Services",25661,3467,152577000
2007,15,"Hawaii","Other Services",25821,3543,163359000
2008,15,"Hawaii","Other Services",26319,3522,168897000
2009,15,"Hawaii","Other Services",25168,3466,161519000
2010,15,"Hawaii","Other Services",25532,3538,161296000
2011,15,"Hawaii","Other Services",25387,3466,165308000
2012,15,"Hawaii","Other Services",24980,3434,168862000
2013,15,"Hawaii","Other Services",25078,3445,170878000
2014,15,"Hawaii","Other Services",25547,3478,177895000
2015,15,"Hawaii","Other Services",25471,3491,181449000
2016,15,"Hawaii","Other Services",25580,3492,186705000
2017,15,"Hawaii","Other Services",25975,3560,196665000
2018,15,"Hawaii","Other Services",26661,3576,207548000
2019,15,"Hawaii","Other Services",26497,3614,212976000
2020,15,"Hawaii","Other Services",25125,3560,214976000
2021,15,"Hawaii","Other Services",21016,3552,181622000
2001,15,"Hawaii","Professional and Business Services",59206,4812,442837000
2002,15,"Hawaii","Professional and Business Services",56719,4918,479880000
2003,15,"Hawaii","Professional and Business Services",58661,4998,457370000
2004,15,"Hawaii","Professional and Business Services",59546,5142,482481000
2005,15,"Hawaii","Professional and Business Services",62857,5207,545205000
2006,15,"Hawaii","Professional and Business Services",72739,5386,649312000
2007,15,"Hawaii","Professional and Business Services",64693,5440,609683000
2008,15,"Hawaii","Professional and Business Services",64390,5437,628729000
2009,15,"Hawaii","Professional and Business Services",61323,5457,604710000
2010,15,"Hawaii","Professional and Business Services",62076,5429,572673000
2011,15,"Hawaii","Professional and Business Services",62033,5321,611927000
2012,15,"Hawaii","Professional and Business Services",62285,5311,638796000
2013,15,"Hawaii","Professional and Business Services",61262,5313,656551000
2014,15,"Hawaii","Professional and Business Services",65145,5368,711990000
2015,15,"Hawaii","Professional and Business Services",89140,5441,917920000
2016,15,"Hawaii","Professional and Business Services",84296,5453,890502000
2017,15,"Hawaii","Professional and Business Services",92061,5566,1029819000
2018,15,"Hawaii","Professional and Business Services",93933,5553,1064539000
2019,15,"Hawaii","Professional and Business Services",96982,5505,1146147000
2020,15,"Hawaii","Professional and Business Services",99280,5493,1252655000
2021,15,"Hawaii","Professional and Business Services",88945,5489,1136818000
2001,15,"Hawaii","Public Administration",4289,88,42739000
2002,15,"Hawaii","Public Administration",3634,74,33489000
2001,15,"Hawaii","Trade, Transportation, and Utilities",108202,7570,697218000
2002,15,"Hawaii","Trade, Transportation, and Utilities",106039,7621,703076000
2003,15,"Hawaii","Trade, Transportation, and Utilities",107441,7645,715238000
2004,15,"Hawaii","Trade, Transportation, and Utilities",107081,7641,741885000
2005,15,"Hawaii","Trade, Transportation, and Utilities",117271,7681,810211000
2006,15,"Hawaii","Trade, Transportation, and Utilities",126162,7841,928840000
2007,15,"Hawaii","Trade, Transportation, and Utilities",123935,7895,936141000
2008,15,"Hawaii","Trade, Transportation, and Utilities",123187,7662,1018300000
2009,15,"Hawaii","Trade, Transportation, and Utilities",112429,7449,928797000
2010,15,"Hawaii","Trade, Transportation, and Utilities",110840,7352,913348000
2011,15,"Hawaii","Trade, Transportation, and Utilities",112475,7297,915118000
2012,15,"Hawaii","Trade, Transportation, and Utilities",112982,7274,961019000
2013,15,"Hawaii","Trade, Transportation, and Utilities",117234,7319,1008331000
2014,15,"Hawaii","Trade, Transportation, and Utilities",119850,7240,1066803000
2015,15,"Hawaii","Trade, Transportation, and Utilities",121576,7210,1126557000
2016,15,"Hawaii","Trade, Transportation, and Utilities",121289,7261,1158478000
2017,15,"Hawaii","Trade, Transportation, and Utilities",121977,7288,1244544000
2018,15,"Hawaii","Trade, Transportation, and Utilities",127156,7231,1369462000
2019,15,"Hawaii","Trade, Transportation, and Utilities",126918,7153,1352299000
2020,15,"Hawaii","Trade, Transportation, and Utilities",123295,7012,1365274000
2021,15,"Hawaii","Trade, Transportation, and Utilities",107183,6871,1170662000
2001,15,"Hawaii","Unclassified",250,250,880000
2002,15,"Hawaii","Unclassified",0,102,0
2003,15,"Hawaii","Unclassified",0,108,0
2004,15,"Hawaii","Unclassified",9,140,13000
2005,15,"Hawaii","Unclassified",0,69,0
2006,15,"Hawaii","Unclassified",0,85,0
2007,15,"Hawaii","Unclassified",26,39,0
2008,15,"Hawaii","Unclassified",8,42,149000
2009,15,"Hawaii","Unclassified",6,54,245000
2010,15,"Hawaii","Unclassified",0,56,167000
2011,15,"Hawaii","Unclassified",28,42,79000
2012,15,"Hawaii","Unclassified",0,16,0
2013,15,"Hawaii","Unclassified",28,25,168000
2014,15,"Hawaii","Unclassified",0,39,178000
2015,15,"Hawaii","Unclassified",57,43,318000
2016,15,"Hawaii","Unclassified",95,48,579000
2017,15,"Hawaii","Unclassified",45,22,402000
2018,15,"Hawaii","Unclassified",42,30,335000
2019,15,"Hawaii","Unclassified",91,43,596000
2020,15,"Hawaii","Unclassified",93,56,801000
2021,15,"Hawaii","Unclassified",66,41,733000
2001,16,"Idaho","Agriculture and Mining",4250,717,32533000
2002,16,"Idaho","Agriculture and Mining",3975,695,30263000
2003,16,"Idaho","Agriculture and Mining",4371,666,31933000
2004,16,"Idaho","Agriculture and Mining",5156,688,41572000
2005,16,"Idaho","Agriculture and Mining",4116,677,30733000
2006,16,"Idaho","Agriculture and Mining",3641,659,31703000
2007,16,"Idaho","Agriculture and Mining",4646,666,37704000
2008,16,"Idaho","Agriculture and Mining",3618,637,39630000
2009,16,"Idaho","Agriculture and Mining",2728,580,25848000
2010,16,"Idaho","Agriculture and Mining",3237,580,31543000
2011,16,"Idaho","Agriculture and Mining",3193,563,38966000
2012,16,"Idaho","Agriculture and Mining",2945,569,40317000
2013,16,"Idaho","Agriculture and Mining",3369,569,44835000
2014,16,"Idaho","Agriculture and Mining",2648,573,41633000
2015,16,"Idaho","Agriculture and Mining",4994,556,71419000
2016,16,"Idaho","Agriculture and Mining",4645,583,70611000
2017,16,"Idaho","Agriculture and Mining",5092,567,65788000
2018,16,"Idaho","Agriculture and Mining",5106,578,60543000
2019,16,"Idaho","Agriculture and Mining",4979,567,50488000
2020,16,"Idaho","Agriculture and Mining",5340,582,57426000
2021,16,"Idaho","Agriculture and Mining",5736,587,63832000
2001,16,"Idaho","Construction",40974,5665,276046000
2002,16,"Idaho","Construction",30541,5957,200627000
2003,16,"Idaho","Construction",37176,6352,244708000
2004,16,"Idaho","Construction",38897,6899,272071000
2005,16,"Idaho","Construction",44532,7697,321550000
2006,16,"Idaho","Construction",52643,8665,408440000
2007,16,"Idaho","Construction",50060,8785,371182000
2008,16,"Idaho","Construction",42836,7985,337415000
2009,16,"Idaho","Construction",32397,6959,253243000
2010,16,"Idaho","Construction",29429,6358,205926000
2011,16,"Idaho","Construction",25956,5829,191230000
2012,16,"Idaho","Construction",26796,5653,220979000
2013,16,"Idaho","Construction",29497,5837,240473000
2014,16,"Idaho","Construction",31959,5958,268362000
2015,16,"Idaho","Construction",34893,6184,306473000
2016,16,"Idaho","Construction",38228,6443,349419000
2017,16,"Idaho","Construction",40579,6947,376522000
2018,16,"Idaho","Construction",45263,7502,442300000
2019,16,"Idaho","Construction",48592,8009,495313000
2020,16,"Idaho","Construction",51683,8448,552806000
2021,16,"Idaho","Construction",54863,9311,598402000
2001,16,"Idaho","Education and Health Services",60039,3598,380939000
2002,16,"Idaho","Education and Health Services",61906,3888,415031000
2003,16,"Idaho","Education and Health Services",66678,4111,442579000
2004,16,"Idaho","Education and Health Services",71360,4289,493692000
2005,16,"Idaho","Education and Health Services",72961,4514,498581000
2006,16,"Idaho","Education and Health Services",76204,4677,548015000
2007,16,"Idaho","Education and Health Services",73300,4939,553242000
2008,16,"Idaho","Education and Health Services",78322,5015,601341000
2009,16,"Idaho","Education and Health Services",80591,5073,615899000
2010,16,"Idaho","Education and Health Services",80886,5143,642057000
2011,16,"Idaho","Education and Health Services",81706,5170,669920000
2012,16,"Idaho","Education and Health Services",81308,5325,721123000
2013,16,"Idaho","Education and Health Services",88354,5412,756135000
2014,16,"Idaho","Education and Health Services",92187,5481,794158000
2015,16,"Idaho","Education and Health Services",95752,5566,901173000
2016,16,"Idaho","Education and Health Services",97432,5668,917140000
2017,16,"Idaho","Education and Health Services",102350,5813,1004304000
2018,16,"Idaho","Education and Health Services",115431,6061,1149662000
2019,16,"Idaho","Education and Health Services",118321,6219,1231519000
2020,16,"Idaho","Education and Health Services",123771,6417,1306809000
2021,16,"Idaho","Education and Health Services",123713,6726,1382848000
2001,16,"Idaho","Financial Activities",22955,3678,195354000
2002,16,"Idaho","Financial Activities",23490,4003,200451000
2003,16,"Idaho","Financial Activities",24320,4224,217403000
2004,16,"Idaho","Financial Activities",26736,4484,241034000
2005,16,"Idaho","Financial Activities",27682,4803,264428000
2006,16,"Idaho","Financial Activities",29863,5275,292868000
2007,16,"Idaho","Financial Activities",30238,5590,330042000
2008,16,"Idaho","Financial Activities",30266,5410,335297000
2009,16,"Idaho","Financial Activities",27550,5086,289329000
2010,16,"Idaho","Financial Activities",27717,4955,288321000
2011,16,"Idaho","Financial Activities",26289,4733,293340000
2012,16,"Idaho","Financial Activities",26194,4847,303048000
2013,16,"Idaho","Financial Activities",26222,4887,326678000
2014,16,"Idaho","Financial Activities",28432,4992,359413000
2015,16,"Idaho","Financial Activities",28741,5115,364047000
2016,16,"Idaho","Financial Activities",29675,5305,370328000
2017,16,"Idaho","Financial Activities",30145,5550,401266000
2018,16,"Idaho","Financial Activities",31395,5795,442877000
2019,16,"Idaho","Financial Activities",32164,6030,472046000
2020,16,"Idaho","Financial Activities",33002,6291,516353000
2021,16,"Idaho","Financial Activities",34604,6721,602163000
2001,16,"Idaho","Information",11755,680,91402000
2002,16,"Idaho","Information",11233,679,94069000
2003,16,"Idaho","Information",11445,693,99360000
2004,16,"Idaho","Information",11425,676,106554000
2005,16,"Idaho","Information",12376,698,110155000
2006,16,"Idaho","Information",14049,696,122238000
2007,16,"Idaho","Information",12560,713,113626000
2008,16,"Idaho","Information",13609,765,131053000
2009,16,"Idaho","Information",12746,713,122108000
2010,16,"Idaho","Information",12489,702,114330000
2011,16,"Idaho","Information",11049,650,114808000
2012,16,"Idaho","Information",10969,641,125669000
2013,16,"Idaho","Information",11251,633,132243000
2014,16,"Idaho","Information",11196,645,133657000
2015,16,"Idaho","Information",11703,634,142177000
2016,16,"Idaho","Information",12992,703,162240000
2017,16,"Idaho","Information",13189,787,179513000
2018,16,"Idaho","Information",12764,816,178271000
2019,16,"Idaho","Information",12914,830,193209000
