"year","cz","employment_march","establishments","payroll_quarter1"
2002,387,14527,1286,70275000
2003,387,13754,1278,63737000
2004,387,14012,1290,68269000
2005,387,14280,1293,70784000
2006,387,14523,1299,78763000
2007,387,15062,1337,85230000
2008,387,15443,1325,90679000
2009,387,15313,1299,93940000
2010,387,14915,1289,88190000
2011,387,14930,1317,95610000
2012,387,15307,1354,103789000
2013,387,15923,1352,110627000
2014,387,16337,1353,117783000
2015,387,16855,1374,122355000
2016,387,16649,1387,117954000
2017,387,16824,1456,121633000
2018,387,17220,1462,130829000
2019,387,17490,1478,136585000
2001,388,15511,1914,79133000
2002,388,15631,1869,82492000
2003,388,15244,1885,81633000
2004,388,16572,1863,88871000
2005,388,16266,1875,89368000
2006,388,16207,1853,94120000
2007,388,16013,1852,94998000
2008,388,15542,1756,95389000
2009,388,14830,1684,86414000
2010,388,14689,1696,86895000
2011,388,14911,1643,91513000
2012,388,14194,1600,94100000
2013,388,14904,1612,98324000
2014,388,15241,1586,104937000
2015,388,15265,1579,129624000
2016,388,14944,1565,113103000
2017,388,14838,1575,117283000
2018,388,14437,1589,114815000
2019,388,14444,1587,118400000
2001,389,24201,1343,130965000
2002,389,23386,1367,126034000
2003,389,22393,1369,123950000
2004,389,22760,1399,124419000
2005,389,22442,1378,125539000
2006,389,22697,1385,133010000
2007,389,22564,1417,137617000
2008,389,21551,1361,135503000
2009,389,20419,1318,125897000
2010,389,19866,1322,124577000
2011,389,19844,1313,129023000
2012,389,21256,1293,157218000
2013,389,21943,1315,160293000
2014,389,21816,1330,166956000
2015,389,21882,1325,169194000
2016,389,22829,1330,179518000
2017,389,23377,1331,196911000
2018,389,24214,1352,206686000
2019,389,25124,1381,218305000
2001,390,7414,770,34158000
2002,390,7373,768,35799000
2003,390,7311,777,34656000
2004,390,7691,767,37944000
2005,390,7551,771,38457000
2006,390,7263,754,39122000
2007,390,7321,751,40852000
2008,390,7129,735,42688000
2009,390,6976,709,43978000
2010,390,6989,721,45363000
2011,390,6833,722,48038000
2012,390,7358,750,56222000
2013,390,7367,741,56057000
2014,390,7514,741,59758000
2015,390,7660,753,62918000
2016,390,7660,750,63824000
2017,390,7526,748,67102000
2018,390,7276,748,66675000
2019,390,7128,742,67017000
2001,391,113503,6820,737526000
2002,391,111937,6895,757128000
2003,391,110440,6845,754797000
2004,391,111116,6817,767949000
2005,391,110982,6795,763224000
2006,391,109764,6749,788466000
2007,391,109765,6798,802658000
2008,391,107819,6638,820702000
2009,391,97395,6348,725619000
2010,391,93688,6245,676998000
2011,391,94139,6108,703455000
2012,391,94738,6031,752465000
2013,391,95020,6025,759229000
2014,391,97242,5954,784703000
2015,391,97917,5945,807657000
2016,391,94660,5950,777693000
2017,391,96957,6046,840604000
2018,391,97674,5979,878258000
2019,391,97687,5961,902100000
2001,392,8934,839,39736000
2002,392,9752,878,44252000
2003,392,10642,846,49714000
2004,392,10913,853,51692000
2005,392,11181,853,51237000
2006,392,11297,843,54604000
2007,392,10807,830,53484000
2008,392,10886,842,56181000
2009,392,10336,808,53962000
2010,392,10549,813,56126000
2011,392,10659,813,58958000
2012,392,10652,814,59050000
2013,392,10719,803,60945000
2014,392,10833,791,64150000
2015,392,11258,801,67025000
2016,392,11187,803,66248000
2017,392,11517,842,75444000
2018,392,12052,849,82144000
2019,392,12137,857,86559000
2001,393,47721,3227,284030000
2002,393,45792,3261,279574000
2003,393,45720,3244,286117000
2004,393,46153,3258,303138000
2005,393,47781,3208,326377000
2006,393,48319,3222,355782000
2007,393,48612,3246,373321000
2008,393,47930,3181,374908000
2009,393,45690,3148,354744000
2010,393,44843,3158,347656000
2011,393,44509,3075,341911000
2012,393,45037,3083,367202000
2013,393,45946,3049,380703000
2014,393,46159,3034,391968000
2015,393,46829,3027,407697000
2016,393,46713,2999,411414000
2017,393,45369,3043,412471000
2018,393,45676,3007,436027000
2019,393,46440,3009,451473000
2001,394,20859,1748,163158000
2002,394,19649,1800,159073000
2003,394,20570,1831,162971000
2004,394,21092,1887,170216000
2005,394,21996,1946,188070000
2006,394,23252,2021,215713000
2007,394,25280,2144,258876000
2008,394,25313,2151,281317000
2009,394,25263,2083,288803000
2010,394,23567,2054,267608000
2011,394,24835,2044,309259000
2012,394,25739,2074,319259000
2013,394,25224,2046,319785000
2014,394,26281,2035,341601000
2015,394,26084,2006,355462000
2016,394,23983,1956,322163000
2017,394,23038,1934,301263000
2018,394,23918,1916,331955000
2019,394,23681,1904,350658000
2001,395,31226,3378,193057000
2002,395,29092,3438,187105000
2003,395,28910,3421,185006000
2004,395,29880,3426,193616000
2005,395,28828,3439,194422000
2006,395,29113,3385,201688000
2007,395,27976,3379,205219000
2008,395,27503,3264,208650000
2009,395,26054,3125,191767000
2010,395,25020,3124,186508000
2011,395,25011,3029,191855000
2012,395,25659,3059,200980000
2013,395,27070,3015,221234000
2014,395,26695,2992,220719000
2015,395,26952,2994,226735000
2016,395,27647,3018,231998000
2017,395,28312,3063,255551000
2018,395,28732,3088,263873000
2019,395,28315,3117,264149000
2001,396,7593,559,61854000
2002,396,6974,545,57455000
2003,396,6948,535,55491000
2004,396,7237,523,63458000
2005,396,7520,554,65172000
2006,396,8001,563,72931000
2007,396,9928,584,81625000
2008,396,8667,581,87846000
2009,396,8429,570,88555000
2010,396,8344,562,79644000
2011,396,8715,553,104967000
2012,396,9764,578,124685000
2013,396,9703,576,132711000
2014,396,9395,572,138867000
2015,396,8655,574,130724000
2016,396,8095,558,118917000
2017,396,8170,540,121272000
2018,396,7795,559,108260000
2019,396,8737,568,134637000
2001,397,16322,1800,78634000
2002,397,16142,1793,79008000
2003,397,16575,1807,83947000
2004,397,17026,1821,90034000
2005,397,17126,1898,99091000
2006,397,17928,1938,116704000
2007,397,19490,2022,135793000
2008,397,21059,2043,156188000
2009,397,21114,2031,163714000
2010,397,20490,2045,156676000
2011,397,21797,2065,188865000
2012,397,23811,2130,232294000
2013,397,23930,2138,235855000
2014,397,23938,2134,242915000
2015,397,23219,2104,244114000
2016,397,20311,2055,192743000
2017,397,19902,2001,196051000
2018,397,20782,2007,226438000
2019,397,21081,1970,237680000
2001,398,115068,9197,746474000
2002,398,115363,9344,761835000
2003,398,111936,9417,816744000
2004,398,113355,9548,828905000
2005,398,114125,9557,890850000
2006,398,119859,9523,958185000
2007,398,127559,9499,1003545000
2008,398,127160,9392,1075782000
2009,398,126877,9164,1052529000
2010,398,124528,9027,1015955000
2011,398,119352,8934,1050057000
2012,398,119567,8916,1095416000
2013,398,110620,8830,1125997000
2014,398,111811,8788,1175763000
2015,398,114432,8753,1197764000
2016,398,114739,8728,1255766000
2017,398,114288,8770,1344030000
2018,398,115531,8735,1391539000
2019,398,115990,8666,1435726000
2001,399,29610,2479,143560000
2002,399,29699,2796,147691000
2003,399,30657,2856,158965000
2004,399,32557,3150,167555000
2005,399,32053,2934,171439000
2006,399,34291,2972,195062000
2007,399,33351,2945,195705000
2008,399,33525,3040,202212000
2009,399,30805,3188,197216000
2010,399,30823,2935,194983000
2011,399,30632,2803,203743000
2012,399,30282,2694,223731000
2013,399,30743,2955,223766000
2014,399,33547,3098,236569000
2015,399,32265,2916,240056000
2016,399,32251,2863,241028000
2017,399,32126,2711,248287000
2018,399,33015,2717,272986000
2019,399,32377,2633,270651000
2001,400,41581,2209,281618000
2002,400,42075,2266,284621000
2003,400,43571,2252,301823000
2004,400,42547,2246,305462000
2005,400,44471,2225,342178000
2006,400,45424,2241,359052000
2007,400,45312,2211,376874000
2008,400,43833,2174,375155000
2009,400,36232,2085,306292000
2010,400,31061,2049,239696000
2011,400,31853,1998,241299000
2012,400,29881,1957,236517000
2013,400,31175,1975,262680000
2014,400,31401,1971,277289000
2015,400,32135,1975,291202000
2016,400,33006,2013,299762000
2017,400,34024,2008,328900000
2018,400,34030,1971,343524000
2019,400,33547,1989,356215000
2001,401,32862,2632,197962000
2002,401,32675,2609,204875000
2003,401,32745,2583,210523000
2004,401,31863,2604,213385000
2005,401,32890,2645,225648000
2006,401,34091,2638,246074000
2007,401,33014,2618,249427000
2008,401,34405,2584,258134000
2009,401,32486,2481,242572000
2010,401,30497,2467,226924000
2011,401,30439,2457,239691000
2012,401,29502,2439,235287000
2013,401,29432,2413,246311000
2014,401,29588,2375,262849000
2015,401,30577,2358,279745000
2016,401,30875,2371,293226000
2017,401,30479,2368,283618000
2018,401,30731,2371,297026000
2019,401,31350,2330,312625000
2001,402,8045,732,42583000
2002,402,8826,751,46855000
2003,402,8602,713,46749000
2004,402,8107,734,44611000
2005,402,8123,774,48477000
2006,402,7924,766,48044000
2007,402,8064,778,48036000
2008,402,7894,768,50355000
2009,402,7067,745,45069000
2010,402,7036,723,45319000
2011,402,7136,720,49433000
2012,402,7364,712,52893000
2013,402,7025,703,50469000
2014,402,7202,689,52024000
2015,402,7101,684,51001000
2016,402,7276,676,51426000
2017,402,7300,708,57976000
2018,402,7190,684,60739000
2019,402,7824,684,71417000
2001,403,35872,2705,188044000
2002,403,33106,2730,176085000
2003,403,32987,2748,175798000
2004,403,34699,2804,181261000
2005,403,32342,2779,183728000
2006,403,32395,2802,199351000
2007,403,32363,2821,202911000
2008,403,31860,2718,208743000
2009,403,30826,2621,201026000
2010,403,29133,2579,185002000
2011,403,29742,2540,199891000
2012,403,29705,2494,210539000
2013,403,28973,2459,211312000
2014,403,28274,2458,208331000
2015,403,29179,2447,221517000
2016,403,28903,2439,233542000
2017,403,28298,2461,229721000
2018,403,27667,2439,230981000
2019,403,28305,2405,244193000
2001,404,101500,6236,676105000
2002,404,97741,6219,640911000
2003,404,100727,6144,662752000
2004,404,102697,6136,680078000
2005,404,106523,6130,729241000
2006,404,105704,6099,786524000
2007,404,103662,6093,804913000
2008,404,102183,5940,817807000
2009,404,95188,5812,740380000
2010,404,94206,5773,703522000
2011,404,95819,5682,750546000
2012,404,98145,5709,837957000
2013,404,99349,5650,866389000
2014,404,97943,5661,895428000
2015,404,101297,5654,922919000
2016,404,103828,5651,951329000
2017,404,103281,5636,1008054000
2018,404,102928,5656,1046280000
2019,404,104570,5646,1101775000
2001,405,21835,2061,104333000
2002,405,23142,2045,114721000
2003,405,23305,2076,122869000
2004,405,24491,2080,128494000
2005,405,23865,2088,133917000
2006,405,24795,2068,147246000
2007,405,20958,2068,129714000
2008,405,20582,2075,129047000
2009,405,20355,2040,131192000
2010,405,24000,2022,152749000
2011,405,23894,2030,157643000
2012,405,23844,2012,167099000
2013,405,23763,1988,176793000
2014,405,23553,2011,177909000
2015,405,23123,1982,183502000
2016,405,23517,1978,181373000
2017,405,23143,1952,190720000
2018,405,22763,1920,191010000
2019,405,23345,1900,204176000
2001,406,16317,1372,91932000
2002,406,16693,1379,97038000
2003,406,16695,1353,96844000
2004,406,16475,1356,98567000
2005,406,16898,1329,100287000
2006,406,16914,1296,108070000
2007,406,16612,1292,114523000
2008,406,17974,1291,124832000
2009,406,17500,1263,126670000
2010,406,18315,1299,131471000
2011,406,18223,1280,140580000
2012,406,18460,1274,148817000
2013,406,18729,1285,150317000
2014,406,18266,1263,147408000
2015,406,17505,1262,143913000
2016,406,17167,1257,144056000
2017,406,17112,1262,156274000
2018,406,17349,1278,150580000
2019,406,17897,1276,159915000
2001,407,41752,3051,284238000
2002,407,41488,3104,267817000
2003,407,40333,3076,231539000
2004,407,39910,3114,252399000
2005,407,40813,3124,276871000
2006,407,41391,3119,302129000
2007,407,42933,3135,319740000
2008,407,44939,3105,337167000
2009,407,42169,3076,317362000
2010,407,39244,3045,287251000
2011,407,38994,3001,301503000
2012,407,39692,3053,289395000
2013,407,40916,3106,339076000
2014,407,42794,3183,367634000
2015,407,42869,3181,391232000
2016,407,41680,3151,358147000
2017,407,42671,3166,385263000
2018,407,43266,3156,416746000
2019,407,42527,3131,423411000
2001,408,320439,17716,2316218000
2002,408,315854,17892,2344867000
2003,408,317753,17782,2367110000
2004,408,326946,17829,2453168000
2005,408,331717,17744,2522701000
2006,408,341705,17728,2785052000
2007,408,334182,17936,2794123000
2008,408,329370,17563,2788615000
2009,408,285336,16939,2344446000
2010,408,279752,16701,2269404000
2011,408,291068,16475,2466515000
2012,408,299292,16461,2683528000
2013,408,301822,16324,2840076000
2014,408,314909,16183,2990025000
2015,408,324389,16236,3193238000
2016,408,329057,16245,3308059000
2017,408,336795,16452,3621904000
2018,408,349160,16491,3907412000
2019,408,343272,16482,3874696000
2001,409,73480,4227,482238000
2002,409,69312,4362,460745000
2003,409,69658,4401,470120000
2004,409,71539,4517,479321000
2005,409,72531,4549,506890000
2006,409,73414,4649,545040000
2007,409,70768,4870,525455000
2008,409,69819,4792,540244000
2009,409,64928,4578,512164000
2010,409,63658,4501,483599000
2011,409,67966,4430,541085000
2012,409,69689,4468,587041000
2013,409,73041,4492,627659000
2014,409,73716,4590,648478000
2015,409,75899,4711,700457000
2016,409,77051,4805,714941000
2017,409,80319,4937,789751000
2018,409,81922,5003,827921000
2019,409,84945,5061,867125000
2001,410,672416,54758,5137872000
2002,410,1473750,125902,11762880000
2003,410,1492029,128321,11980939000
2004,410,1537376,132628,12781038000
2005,410,1534778,135634,13334580000
2006,410,1564996,137843,14783077000
2007,410,1574073,138686,15525112000
2008,410,1554652,134767,15743876000
2009,410,1444883,131418,14461418000
2010,410,1421816,132452,13973340000
2011,410,1447512,133772,14841681000
2012,410,1509702,137290,16135820000
2013,410,1542723,139851,16466521000
2014,410,1598637,142435,17827849000
2015,410,1656443,145549,18971933000
2016,410,1697704,147923,19486557000
2017,410,1720199,149673,20895765000
2018,410,1750981,152059,22192787000
2019,410,1760788,153021,23149017000
2001,411,52026,4403,273457000
2002,411,51673,4450,281753000
2003,411,52749,4423,280355000
2004,411,53374,4444,288212000
2005,411,54045,4549,301185000
2006,411,54906,4581,326873000
2007,411,55172,4634,346965000
2008,411,53553,4577,338355000
2009,411,51204,4441,325905000
2010,411,49949,4362,315890000
2011,411,50401,4259,327317000
2012,411,50907,4267,344135000
2013,411,50651,4260,359142000
2014,411,51626,4203,373866000
2015,411,51157,4243,379354000
2016,411,51482,4259,386251000
2017,411,52979,4353,420003000
2018,411,53351,4317,434525000
2019,411,53829,4355,454095000
2001,412,81318,8005,525264000
2002,412,82511,8189,544326000
2003,412,85133,8282,572502000
2004,412,89436,8521,611119000
2005,412,90093,8679,640606000
2006,412,95440,8951,722916000
2007,412,98985,9236,779712000
2008,412,99358,9033,789174000
2009,412,93670,8799,743529000
2010,412,91573,8674,718012000
2011,412,91043,8501,740970000
2012,412,92713,8572,788430000
2013,412,92778,8637,816187000
2014,412,94382,8742,855393000
2015,412,97854,8892,905791000
2016,412,101773,8978,937009000
2017,412,104103,9198,996033000
2018,412,105773,9313,1076467000
2019,412,106712,9453,1110352000
2001,413,21735,1626,104092000
2002,413,22259,1605,109731000
2003,413,21539,1562,107077000
2004,413,17882,1566,92623000
2005,413,17481,1552,90097000
2006,413,17828,1559,93137000
2007,413,16388,1563,95259000
2008,413,16091,1510,96859000
2009,413,15272,1462,93638000
2010,413,15370,1441,94943000
2011,413,15288,1417,97400000
2012,413,14545,1395,97179000
2013,413,14350,1362,98971000
2014,413,14083,1332,100758000
2015,413,14086,1310,99595000
2016,413,14186,1291,100495000
2017,413,14301,1321,104959000
2018,413,14178,1315,107482000
2019,413,14003,1286,109951000
2001,414,22631,1981,172494000
2002,414,21993,2047,171139000
2003,414,21494,2090,173528000
2004,414,20891,2188,173801000
2005,414,21304,2251,169872000
2006,414,24516,2357,205344000
2007,414,26490,2472,242781000
2008,414,27920,2453,268852000
2009,414,24159,2333,247148000
2010,414,21617,2253,213028000
2011,414,21024,2201,206592000
2012,414,23459,2252,241109000
2013,414,22288,2236,239780000
2014,414,22207,2266,247004000
2015,414,20891,2260,232548000
2016,414,21708,2295,227823000
2017,414,19499,2347,190530000
2018,414,20073,2375,202635000
2019,414,20030,2365,207510000
2001,415,27139,2474,141993000
2002,415,27188,2595,144110000
2003,415,27719,2617,148820000
2004,415,28662,2635,155788000
2005,415,29040,2650,159196000
2006,415,29117,2654,173673000
2007,415,28905,2719,181523000
2008,415,29646,2694,193944000
2009,415,28870,2659,188539000
2010,415,28318,2676,184242000
2011,415,28475,2638,192159000
2012,415,28281,2635,199749000
2013,415,28659,2643,217143000
2014,415,29347,2609,227373000
2015,415,28618,2607,224403000
2016,415,28616,2619,227204000
2017,415,29166,2665,244448000
2018,415,28816,2676,248633000
2019,415,27967,2671,253197000
2001,416,33633,2744,180905000
2002,416,33149,2777,184681000
2003,416,33752,2773,188891000
2004,416,33616,2773,192394000
2005,416,34566,2782,203787000
2006,416,36334,2818,228075000
2007,416,35594,2860,228502000
2008,416,34862,2810,233724000
2009,416,33526,2742,229215000
2010,416,33172,2744,220811000
2011,416,33760,2725,227719000
2012,416,33728,2729,248873000
2013,416,33655,2710,256009000
2014,416,34291,2718,270407000
2015,416,35113,2757,279347000
2016,416,36103,2794,284756000
2017,416,36170,2822,291132000
2018,416,37108,2828,308411000
2019,416,37547,2800,318634000
2001,417,148340,9147,1099922000
2002,417,142084,9281,1002003000
2003,417,140722,9233,1023577000
2004,417,141166,9283,1051141000
2005,417,139147,9323,1075869000
2006,417,141272,9259,1149642000
2007,417,141743,9435,1145053000
2008,417,138492,9148,1128808000
2009,417,128402,8848,1021016000
2010,417,123824,8733,982519000
2011,417,125873,8617,1050868000
2012,417,129893,8612,1142503000
2013,417,129965,8528,1165866000
2014,417,130488,8460,1194059000
2015,417,132934,8574,1228369000
2016,417,135383,8580,1255789000
2017,417,133941,8570,1330210000
2018,417,134405,8476,1386130000
2019,417,136526,8406,1424774000
2001,418,213842,14045,1454712000
2002,418,218521,14587,1519076000
2003,418,222772,14867,1590711000
2004,418,228139,15268,1642626000
2005,418,234386,15650,1759936000
2006,418,239858,15942,1924674000
2007,418,238448,16099,1989037000
2008,418,244356,15821,2019541000
2009,418,223058,15454,1915937000
2010,418,219636,15289,1797566000
2011,418,221382,15109,1902067000
2012,418,229279,15265,2106858000
2013,418,228855,15303,2152817000
2014,418,234176,15326,2241402000
2015,418,239971,15409,2329928000
2016,418,244925,15604,2394243000
2017,418,246363,15737,2559210000
2018,418,251443,15745,2666778000
2019,418,251537,15786,2772839000
2001,419,14366,1222,73985000
2002,419,14804,1201,76252000
2003,419,14557,1200,79593000
2004,419,14359,1170,78954000
2005,419,13785,1132,75709000
2006,419,13914,1125,80842000
2007,419,13584,1115,86203000
2008,419,13514,1082,87207000
2009,419,13480,1081,88517000
2010,419,13364,1084,88411000
2011,419,13491,1068,98220000
2012,419,13252,1063,97757000
2013,419,11804,1060,89818000
2014,419,11264,1039,90981000
2015,419,10932,1022,88301000
2016,419,11101,1016,88442000
2017,419,11089,997,90388000
2018,419,11464,988,117463000
2019,419,11936,972,109509000
2001,420,161986,11755,928859000
2002,420,162017,11881,946320000
2003,420,162664,11758,957106000
2004,420,164556,11819,1006214000
2005,420,163898,11826,1015675000
2006,420,167389,11868,1106100000
2007,420,166145,11823,1155122000
2008,420,167515,11649,1217513000
2009,420,161512,11480,1197349000
2010,420,162129,11420,1174852000
2011,420,160675,11323,1251170000
2012,420,161137,11276,1315519000
2013,420,157682,11196,1308750000
2014,420,156533,11074,1304230000
2015,420,159497,11019,1356213000
2016,420,157350,10980,1325043000
2017,420,155787,10937,1360164000
2018,420,155951,10811,1448304000
2019,420,156464,10798,1516673000
2001,421,33556,1944,193189000
2002,421,34501,1934,194857000
2003,421,30208,1942,165854000
2004,421,29427,1969,170768000
2005,421,30882,1963,177174000
2006,421,29524,1948,185953000
2007,421,30047,2000,188445000
2008,421,30110,1914,192882000
2009,421,25558,1831,156902000
2010,421,25274,1807,158470000
2011,421,24567,1739,159467000
2012,421,24817,1750,168875000
2013,421,23796,1703,161807000
2014,421,24525,1655,171506000
2015,421,24663,1632,174655000
2016,421,25179,1609,185492000
2017,421,23785,1622,185804000
2018,421,23568,1594,182354000
2019,421,24362,1589,189365000
2001,422,10115,755,59365000
2002,422,9665,760,58593000
2003,422,9111,742,56287000
2004,422,9487,748,61061000
2005,422,9304,751,60595000
2006,422,9455,735,64701000
2007,422,9237,720,67428000
2008,422,9060,717,69302000
2009,422,8263,694,60161000
2010,422,8376,708,60027000
2011,422,8438,704,64491000
2012,422,8528,705,64210000
2013,422,8318,707,70190000
2014,422,8479,701,72358000
2015,422,8453,682,73716000
2016,422,7882,661,70410000
2017,422,7760,646,73460000
2018,422,7773,656,72269000
2019,422,7824,649,73449000
2001,423,20445,2582,120451000
2002,423,20734,2678,117678000
2003,423,20605,2702,127364000
2004,423,20943,2816,133480000
2005,423,20764,2958,143507000
2006,423,23198,3055,166525000
2007,423,24296,3155,176040000
2008,423,24539,3088,192820000
2009,423,22691,2951,183116000
2010,423,21669,2872,166314000
2011,423,21139,2787,169868000
2012,423,22089,2831,191207000
2013,423,23829,2854,225071000
2014,423,24109,2853,240576000
2015,423,24427,2908,214595000
2016,423,24852,2944,224219000
2017,423,25824,2998,253034000
2018,423,26512,3007,276417000
2019,423,26765,3002,300228000
2001,424,28633,2243,142119000
2002,424,28418,2248,143391000
2003,424,28991,2323,148586000
2004,424,29920,2369,153934000
2005,424,29996,2426,163915000
2006,424,31230,2471,181013000
2007,424,30962,2546,182817000
2008,424,30395,2490,186083000
2009,424,28291,2403,174304000
2010,424,27250,2359,165023000
2011,424,27377,2295,173094000
2012,424,28019,2275,178959000
2013,424,27638,2268,184937000
2014,424,27075,2280,187730000
2015,424,27703,2304,194062000
2016,424,28666,2338,202888000
2017,424,28560,2402,220827000
2018,424,29000,2398,227363000
2019,424,29500,2419,235316000
2001,425,10954,977,52696000
2002,425,10755,964,54054000
2003,425,11067,958,54953000
2004,425,11121,960,57463000
2005,425,10964,945,58848000
2006,425,11252,941,64095000
2007,425,11241,935,66986000
2008,425,11480,899,70002000
2009,425,10129,874,63536000
2010,425,9621,887,58704000
2011,425,10655,883,92824000
2012,425,9421,872,65311000
2013,425,10460,874,83485000
2014,425,10831,865,87681000
2015,425,11205,850,94438000
2016,425,8989,832,69072000
2017,425,9211,840,75706000
2018,425,9006,822,76852000
2019,425,8936,825,78811000
2001,426,38420,2895,211799000
2002,426,37523,2877,217261000
2003,426,36617,2873,215847000
2004,426,37139,2923,224427000
2005,426,38454,2912,225989000
2006,426,40057,2897,246445000
2007,426,41094,2943,273025000
2008,426,40856,2884,274713000
2009,426,40335,2840,276762000
2010,426,38497,2787,264919000
2011,426,37509,2719,275177000
2012,426,38224,2740,307250000
2013,426,37237,2743,303611000
2014,426,37434,2720,308741000
2015,426,38243,2756,322814000
2016,426,38763,2732,325224000
2017,426,38402,2741,344718000
2018,426,38948,2686,365797000
2019,426,38853,2694,369962000
2001,427,331771,29925,2703802000
2002,427,337342,30668,2768133000
2003,427,338449,31050,2833469000
2004,427,350272,31707,2927054000
2005,427,351437,32153,3068755000
2006,427,360473,32462,3381003000
2007,427,366252,32826,3498493000
2008,427,363943,32096,3509221000
2009,427,343495,30883,3267986000
2010,427,341105,30672,3169735000
2011,427,340786,30340,3285831000
2012,427,346773,30651,3495424000
2013,427,355447,31291,3618605000
2014,427,363668,31549,3730150000
2015,427,370310,31794,3825681000
2016,427,384097,32064,4015089000
2017,427,387264,32674,4308351000
2018,427,393365,32840,4537100000
2019,427,401381,32947,4721292000
2001,428,40313,2884,335891000
2002,428,40380,2914,319646000
2003,428,39263,2883,264240000
2004,428,39379,2888,283821000
2005,428,40988,2911,279180000
2006,428,44071,2937,369704000
2007,428,45921,2887,434630000
2008,428,45822,2870,398925000
2009,428,43607,2773,377849000
2010,428,43631,2739,395445000
2011,428,43234,2706,485857000
2012,428,42896,2662,507379000
2013,428,42829,2644,458880000
2014,428,43393,2632,482955000
2015,428,42373,2626,475268000
2016,428,41199,2565,494947000
2017,428,40930,2534,491280000
2018,428,40424,2508,504640000
2019,428,40409,2478,524782000
2001,429,14829,1481,73579000
2002,429,14905,1508,73850000
2003,429,14516,1467,75121000
2004,429,14553,1475,79528000
2005,429,15205,1493,85292000
2006,429,15200,1465,89376000
2007,429,15259,1505,93917000
2008,429,15429,1483,100127000
2009,429,14914,1472,95128000
2010,429,14788,1478,96134000
2011,429,15092,1462,104969000
2012,429,15683,1463,118908000
2013,429,15628,1470,117159000
2014,429,15258,1468,125717000
2015,429,15971,1486,129893000
2016,429,15735,1458,133945000
2017,429,16045,1468,143202000
2018,429,16297,1435,150948000
2019,429,16329,1418,153104000
2001,430,21167,1617,110352000
2002,430,20657,1641,107468000
2003,430,21375,1626,113797000
2004,430,21357,1621,118337000
2005,430,21553,1613,120997000
2006,430,22944,1586,134914000
2007,430,21379,1599,132095000
2008,430,21002,1536,133621000
2009,430,20560,1501,133578000
2010,430,20938,1523,135733000
2011,430,20900,1485,146129000
2012,430,21224,1458,151016000
2013,430,19812,1456,147393000
2014,430,19519,1451,149401000
2015,430,20660,1470,160883000
2016,430,20010,1486,159724000
2017,430,20475,1474,166624000
2018,430,20811,1492,177551000
2019,430,21906,1471,188098000
2001,431,81972,4861,721291000
2002,431,77935,4985,620502000
2003,431,74238,4944,521516000
2004,431,73565,4962,560205000
2005,431,73678,4940,584361000
2006,431,74325,4971,625800000
2007,431,75075,4952,656668000
2008,431,76247,4917,757778000
2009,431,73100,4912,640172000
2010,431,74509,4913,724026000
2011,431,74700,4909,787678000
2012,431,74332,4900,774858000
2013,431,73489,4906,761834000
2014,431,72405,4879,770098000
2015,431,71701,4870,775613000
2016,431,71137,4855,771122000
2017,431,69413,4796,759107000
2018,431,70486,4772,888587000
2019,431,70687,4744,937010000
2001,432,66023,3849,465304000
2002,432,62502,3839,451479000
2003,432,62904,3825,459206000
2004,432,62790,3836,465872000
2005,432,62636,3812,476307000
2006,432,63743,3753,502793000
2007,432,62859,3762,509107000
2008,432,61847,3650,496154000
2009,432,53322,3506,417606000
2010,432,52723,3471,4.11e+08
2011,432,53233,3450,430606000
2012,432,54348,3419,464419000
2013,432,54514,3412,494652000
2014,432,54618,3430,494914000
2015,432,56872,3442,527620000
2016,432,57304,3416,554943000
2017,432,57606,3442,576731000
2018,432,57787,3411,583705000
2019,432,57328,3386,598010000
2001,433,54649,3653,343240000
2002,433,53010,3686,338140000
2003,433,54410,3773,341805000
2004,433,54608,3830,363357000
2005,433,52509,3848,354974000
2006,433,53087,3859,379958000
2007,433,52311,3949,392828000
2008,433,53069,3871,391866000
2009,433,52683,3823,381861000
2010,433,53343,3743,388217000
2011,433,52412,3662,395128000
2012,433,52990,3716,417340000
2013,433,54387,3717,429333000
2014,433,55077,3721,445465000
2015,433,55078,3727,459777000
2016,433,53891,3759,447862000
2017,433,54904,3820,484281000
2018,433,56377,3928,523783000
2019,433,57776,3949,541319000
2001,434,10380,886,48345000
2002,434,10122,912,47818000
2003,434,9451,915,48925000
2004,434,9750,930,50220000
2005,434,9640,943,50367000
2006,434,10005,965,57857000
2007,434,10665,994,62074000
2008,434,10237,1002,63116000
2009,434,9634,961,61502000
2010,434,9472,948,60480000
2011,434,9499,932,63900000
2012,434,9540,927,66527000
2013,434,9317,934,66237000
2014,434,9451,927,68240000
2015,434,9362,935,71349000
2016,434,9428,916,71743000
2017,434,9281,913,75606000
2018,434,9695,898,80678000
2019,434,9886,906,82223000
2001,435,25307,2433,134754000
2002,435,25931,2417,143326000
2003,435,25710,2400,162389000
2004,435,26302,2403,154714000
2005,435,26727,2420,159141000
2006,435,27478,2445,189152000
2007,435,27374,2457,191603000
2008,435,28909,2473,219192000
2009,435,28833,2456,225889000
2010,435,28188,2409,218097000
2011,435,28163,2427,233163000
2012,435,37901,2476,454116000
2013,435,29732,2507,269425000
2014,435,30904,2517,304411000
2015,435,30200,2521,325206000
2016,435,28170,2475,288295000
2017,435,27911,2438,269214000
2018,435,28033,2421,277829000
2019,435,27916,2387,288396000
