"cz1","cz2","distance"
12,305,34.1386229446852
12,356,76.6395331130536
12,375,90.2010304584511
12,415,26.2523313282184
12,451,46.1600100185146
12,479,93.1553815634908
12,491,36.6770571375992
12,499,28.4496260361123
12,517,87.7671571230934
12,555,16.5899623338107
12,566,78.0160585264669
12,567,61.6209994382468
12,591,60.2031534747253
13,111,36.0899544851731
13,130,40.3074533072795
13,263,71.6662523475675
13,519,41.1608605055653
14,31,20.3789583331832
14,36,95.3854814697836
14,39,17.8583708940787
14,51,47.2390902933919
14,74,44.1494220714242
14,87,53.1013542401913
14,146,72.9601407984882
14,147,66.6141985967827
14,173,58.0817504828733
14,178,86.3103253013819
14,180,67.6512027204778
14,219,22.2670732509287
14,248,87.3808362210637
14,261,22.350883354199
14,298,75.5588033902884
14,330,14.9057366761667
14,355,76.7368683468973
14,403,15.6694021762036
14,434,20.4729363240697
14,441,61.5062448702622
14,454,71.5068273410715
15,4,81.4672921025804
15,24,62.7539369433207
15,55,60.1582098058183
15,161,75.5533047657753
15,230,45.4542992179061
15,245,95.9875171349584
15,253,82.6174827430333
15,295,42.4857060947994
15,304,72.5875112398511
15,368,69.3773544835645
15,393,25.6617452964243
15,401,26.1656624137394
15,455,28.5463420622098
15,469,65.2929705528843
15,478,86.2844015531283
15,507,81.7554733719303
15,509,23.868512198076
15,518,79.5251929595543
15,526,24.4069912286352
15,561,30.7391301753755
15,564,53.0326849042806
15,597,24.0242504559902
15,603,97.9651942766238
15,621,23.6900074724913
16,34,42.0487869148795
16,45,75.2116440509013
16,56,13.8451643193986
16,114,41.9399478056533
16,154,76.7460970897631
16,168,30.1778323942445
16,255,51.5452547082302
16,258,62.2870483450258
16,289,46.1939251535821
16,338,19.0039578227861
16,345,22.4326149791195
16,593,76.0212392814374
17,175,37.591431257171
17,288,76.2160929833833
17,315,73.0178164744072
17,552,71.7523833733414
17,619,83.4712130175526
17,656,67.8497449174284
17,665,82.9470781548799
18,46,20.099395014146
18,48,96.4907920238044
18,174,39.2406824329416
18,340,88.9063518187784
18,362,79.9707463227518
18,477,48.5862040721555
18,489,42.7320987208403
18,501,88.2937222120398
18,640,56.1471452303336
18,657,58.4690452755357
18,673,60.981808661617
19,8,36.8933185030283
19,61,77.7902802230733
19,62,29.7854470326051
19,64,50.8164469818117
19,67,95.0687592512729
19,79,76.9083529473769
19,119,54.6019701325899
19,137,21.0655082287082
19,165,64.2096566371977
19,197,21.615923975703
19,205,69.1675289782018
19,252,65.5786659428338
19,306,98.9244872765432
19,341,52.11756266342
19,347,58.9740556496183
19,374,14.8718034005106
19,382,20.8163674254311
19,670,55.0626532757622
20,8,16.6472531972327
20,21,77.5415427250946
20,22,22.3559519592588
20,60,25.1614583818837
20,62,90.2992279387496
20,67,67.7268218442986
20,79,20.8399551307598
20,143,97.2672908817336
20,188,25.4923333326459
20,190,52.4980470906097
20,197,84.3605593051946
20,247,83.5819807509677
20,252,96.3363184818482
20,306,74.2987490880915
20,312,96.517062414473
20,341,75.2630566748541
20,347,51.223412748265
20,380,89.623885569765
20,382,83.0881794405742
20,409,59.9152397599809
20,458,81.8638458038121
21,20,77.5415427250946
21,22,63.7518500854708
21,60,23.6772446797249
21,90,70.1324486205837
21,106,63.8493417838896
21,120,19.9570458720895
21,140,80.3844681568797
21,141,87.5598591064772
21,166,99.1381269197887
21,177,88.2590753589336
21,190,22.4021377264606
21,216,26.222576043678
21,268,90.8794011686171
21,303,29.8664709181641
21,312,62.393323003839
21,380,97.7856091991682
21,409,58.1141262679428
21,446,81.7169517591093
21,457,87.4008125271684
21,458,31.9254915745223
21,462,33.1460807122261
21,558,28.6307287312977
22,8,37.1892677085342
22,20,22.3559519592588
22,21,63.7518500854708
22,41,91.9168414884545
22,60,28.861334271894
22,67,20.9090141064846
22,79,14.7183419293793
22,90,75.7701641280906
22,141,30.6588968022604
22,188,61.6277654524955
22,190,30.3435970095384
22,194,77.2191665983634
22,197,79.1238159213217
22,247,17.0262345281619
22,252,69.9130239845793
22,278,78.4013612064434
22,303,48.2042724058271
22,310,88.8744650909885
22,312,99.6190597490726
