"state_fips1","state_fips2","distance"
46,31,21.8202743702377
46,38,25.5788866626644
46,56,42.8458530770026
47,1,26.0606139459416
47,5,20.0364613491218
47,13,12.1943632328369
47,17,54.626313596824
47,21,10.9969543430916
47,28,16.2488550039182
47,29,18.4675940647138
47,37,16.6298769948452
47,45,80.2121836189353
47,51,12.7900215856889
47,54,67.1525363955916
48,5,16.6840278597282
48,8,80.2409342902241
48,20,54.8792438240473
48,22,23.2983621240335
48,35,26.8202378375414
48,40,22.1293616369765
49,8,51.3374244061447
49,16,27.7930466790692
49,32,82.9383531649552
49,35,88.5148329473709
49,56,43.6468361313423
50,9,80.7210470231875
50,23,58.0852622227669
50,25,28.8424267133959
50,33,20.5927825511961
50,36,15.3412316413886
51,10,61.1603011784383
51,11,5.6036496027684
51,21,10.5037496153263
51,24,11.9272172361458
51,37,10.6784060649346
51,39,92.4927138734401
51,42,51.1983510425088
51,47,12.7900215856889
51,54,14.9471838877085
53,16,14.0495839260011
53,30,88.1247344450603
53,41,12.1447530008096
54,11,51.9818710171465
54,21,16.5660443963873
54,24,14.8337054565629
54,37,58.8154587195034
54,39,8.37872917860832
54,42,17.8527351991611
54,47,67.1525363955916
54,51,14.9471838877085
55,17,17.7151320685563
55,18,77.2741898616641
55,19,20.1740856189969
55,26,18.9967041837571
55,27,17.6147378543128
56,8,51.4576505809962
56,16,24.6843175866459
56,30,51.6034986207128
56,31,35.8095855162535
56,46,42.8458530770026
56,49,43.6468361313423
